Unnamed: 0,R0,SIR,SIRv2,SIRv025,SEIRi4,SEIRe1,SEIRe4,SEIRi4v025,SEIRe1v025,SEIRe4v025,COVID
11,2.375,62736.056552610615,112010.02027577288,45458.64486728283,54280.7816337764,195732.9100688961,189152.2809184759,44942.274739562,170090.66546633077,171513.1192862436,59941.82530692498
12,2.5,68166.14189454447,122728.71125473577,49185.5375677117,58031.36180988802,208402.74347431253,200884.667481911,47634.088664416195,180122.4871359489,181491.6954715765,63460.69806130608
13,2.625,74033.02558547912,134600.8237600151,53164.93539447161,61913.54056533398,221390.00212834481,212841.14975275105,50365.07062102217,190281.05794102824,191579.84251844857,67022.02574471477
14,2.75,80413.17602862153,147904.8633914,57433.55669313934,65936.88970562653,234711.00096024456,225030.45543408184,53136.37731302248,200569.62178765816,201779.99347793797,70626.84531156205
15,2.875,87405.0852583543,163034.23754034433,62036.76138122228,70112.06488291334,248383.34597625476,237461.83223987292,55949.21745233082,210991.54873046602,212094.66335169255,74276.23217760088
16,3.0,95138.63318899316,180570.69293158932,67031.49525329957,74450.97567302705,262426.07418417506,250145.09004430153,58804.85492452842,221550.34159947268,222526.45281413043,77971.30214583865
17,3.125,103790.02731298434,201427.78660144977,72490.60598161924,78966.99038010278,276859.81300315034,263090.647390061,61704.61219880684,232249.64306790003,233078.05214839743,81713.21345452695
18,3.25,113606.8466140317,227163.86404389865,78509.37719743636,83675.18444149832,291706.962508107,276309.5829080488,64649.87400548486,243093.243196615,243752.2454109848,85503.16895663374
19,3.375,124952.6919531209,260781.6022435136,85215.80690153933,88592.64406860115,306991.9045501672,289813.6922842855,67642.09130669695,254085.08749430784,254551.9148411353,89342.4184410595
20,3.5,138393.3428304679,309352.09594144276,92787.5422962862,93738.84055113181,322741.24365406216,303615.5515080098,70682.78558875454,265229.2855363013,265480.04553250846,93232.26110680582
21,3.625,154881.53294804617,398137.83059412334,101481.4244076982,99136.09592619861,338984.0856690826,317728.58725091215,73773.55350796688,276530.12018910213,276539.7303860499,97174.04820235127
22,3.75,176217.2480900294,4215236.2730719475,111688.91410900452,104810.1681534821,355752.3615040581,332167.15536450816,76916.07192543433,287992.0574925139,287734.1753646229,101169.18584365293
23,3.875,206495.87736918457,4284242.351947462,124050.50544034169,110790.99460021524,373081.2049931019,346946.62864603096,80112.1033705611,299619.7572563718,299066.7050717387,105219.13802547823
24,4.0,259190.08693809892,3827433.3379305787,139725.3863548379,117113.64818438969,391009.39613027766,362083.4952178839,83363.5019778543,311418.08443482517,310540.76867867314,109325.42984220614
25,4.125,2538305.7632013843,4437536.646369642,161167.04345349493,123819.58362035744,409579.8837312361,377595.46909911704,86672.21994708011,323392.1213476508,322159.94622640574,113489.6509358288
26,4.25,2246566.541138289,3610625.9138106024,195277.9195526111,130958.28625282603,428840.40523857414,393501.6148282362,90040.31458312161,335547.1808254398,333927.95533119416,117713.45919066184
27,4.375,2267186.1161121563,4283197.1777869435,286149.59450436675,138589.49038756816,448844.2261767758,409822.4883361075,93469.95597913663,347888.82036375004,345848.6583252047,121998.58469625465
28,4.5,2943693.288303601,4373130.177893972,2368050.159202336,146786.2207902807,469651.02809082274,426580.29667990323,96963.43541483239,360422.8573806104,357926.06986652187,126346.83400220644
29,4.625,2673248.233222552,3937842.201125528,2263890.8405372384,155639.05349709225,491327.98224983504,443799.0797519561,100523.17455127458,373155.38568223745,370164.36505605106,130760.09469107748
30,4.75,2413925.5330026443,3366929.2289359155,2100239.049237791,165262.2340409987,513951.057796443,461504.91769416846,104151.73551463278,386092.79325355374,382567.8881023801,135240.34029836606
31,4.875,2986169.5031637372,3508297.974002975,2337670.22190309,175802.71834404807,537606.6285885753,479726.1685090921,107851.83197402992,399241.7815036755,395141.1615795989,139789.63561165583
32,5.0,2958069.1750356187,3899311.556298569,1828010.859868385,187453.9903312774,562393.4645071815,498493.7413017639,111626.34133346863,412609.38611133525,407888.89632744476,144410.1423845087
