Unnamed: 0,R0,SEIRi4,SEIRe1,SEIRe4,SEIRi4v025,SEIRe1v025,SEIRe4v025,COVID,SIR,SIRv2,SIRv025,SIRv00001
23,3.875,375410.29604897153,1236283.6091840884,1143125.2614560304,253673.6918029535,914773.4175931426,917298.2936680354,204693.76361776132,7476524.537044616,8760629.125570748,640081.4480566732,473501.50588105427
24,4.0,401843.294314754,1306836.2011106964,1203643.9501712502,267006.9395187957,957622.8885733997,959953.6863509757,215006.49983479053,7893268.297638156,8783001.714197036,6286428.621932568,683903.1512344611
25,4.125,430997.3807136574,1381665.7183310075,1267121.3772799487,280978.0416423254,1001874.5836176251,1003968.2372267476,225751.68676884874,6942157.031665779,7781460.762355541,6147246.259529184,6047449.176508172
26,4.25,463497.7628782904,1461324.3524746774,1333861.7841723608,295651.1070657488,1047623.3905641492,1049431.420686484,236967.1863763343,8051231.82699682,8114554.800781637,5544809.226279182,5356363.775495127
27,4.375,500213.4306698589,1546478.660099242,1404218.89464087,311100.4235558224,1094974.1670846725,1096441.8479646023,248696.0614943797,6500500.060386067,8394985.017150117,7485226.221660161,5528311.979136456
28,4.5,542403.0995055655,1637943.5018007506,1478607.2636215994,327412.7336284375,1144043.188238162,1145108.5551440069,260987.57429425966,7647825.601962747,8644109.91951402,6848605.618366176,6020604.80369082
29,4.625,591989.9144733481,1736729.5872248223,1557517.0784202337,344690.18435187836,1194959.8666714558,1195552.5264379908,273898.4364683969,7920704.867193717,8893821.103645198,6229065.880902967,4583781.384343359
30,4.75,652131.056373358,1844111.7463711195,1641533.7549081943,363054.2057130549,1247868.8095105346,1247908.5062837205,287494.39137538476,7109000.939405361,9144123.564211367,7497000.129859976,5817044.358543716
31,4.875,728568.894642028,1961729.8139559622,1731364.3226632979,382650.6920141133,1302932.2942552378,1302327.1685558727,301852.23987691966,7963100.310137749,9395022.200946795,5956539.216005088,5842338.533169971
32,5.0,833556.968898644,2091742.8156145746,1827873.6329313433,403657.0497255473,1360333.2704678902,1358977.7308336783,317062.4680982003,6888253.142634224,9646521.817906333,6649491.457233461,5213355.339527058
